,loglikelihood,Non-Bias,Bias
launcher,1.0986296489338867,0,2
night,-1.3437173864353178,275,71
tape,-0.7221173571674208,34,16
stomach,0.916308092139932,1,4
direction,0.2876994327175578,26,35
frank,-2.4848892895222234,35,2
guess,0.23640613833000726,14,18
nihilist,0.6931645408257223,0,1
meat,-1.558127257780773,18,3
yankee,1.3863117213856675,0,3
ticket,-1.0608546004194856,25,8
release,-0.9181407857831736,267,106
rhetoric,1.6094552726998774,8,44
trip,-2.463835880324391,93,7
fanatic,0.6931645408257223,0,1
accountable,-0.07060020694817651,43,40
pose,0.5596331482011996,15,27
conservative,-0.02245549558628169,89,87
cancel,-1.1394169229225881,49,15
adventure,-1.5040600365104972,8,1
holocaust,-0.09529281953854801,10,9
tech,-1.295762993313282,94,25
deck,-1.4469016226705484,16,3
emperor,0.6931645408257223,1,3
plunge,-1.9458927887895363,13,1
hall,-2.7382037184697965,571,36
